Report Information,,
School Name,"Codeup, LLC",
Campus Location,San Antonio,
Program Name,"Full-Stack Web Development
- Java -",
Reporting Period,1/1/2019,6/30/2019
"Published Course Length (in days, including weekends and holidays)",150,
Graduates Included in Report,56,
Graduation Requirements,,
"* Complete all course modules
* Complete final capstone project",,
Graduation Data,,
How many students graduate within 100% of published program length (on-time)?,83.6%,
How many students graduate within 150% of published program length,83.6%,
Job Seekers,,
How many students intended to seek in-field employment within 180 days of graduating?,100.0%,
"How many students did not intend to seek in-field employment (returning to previous
employer, no work authorization, continuing to further education, or self-enrichment)?",0.0%,
Employment Results,90 days,180 days
1. Employed in-field,92.9%,100.0%
"1A. Full-time employee (30+ hours/week, 6+ months)",80.4%,82.1%
"1B. Full-time apprenticeship, internship, or contract position (30+ hours/week, 3-6 months)",12.5%,17.9%
"1C. Short-term contract, part-time position, freelance, or unknown length",0.0%,0.0%
1D. Started a new company or venture after graduation,0.0%,0.0%
2. Not seeking in-field employment,0.0%,0.0%
2A. Employed out-of-field,0.0%,0.0%
2B. Continuing to higher education,0.0%,0.0%
"2C. Not seeking a job for health, family, or personal reasons",0.0%,0.0%
3. Still seeking a job in-field,7.1%,0.0%
4. Could not contact,0.0%,0.0%
Hired by School,1.8%,1.8%
What is the median annual base salary of graduates?,"$47,420","$45,505"
"Under $40,000",0.0%,0.0%
"$40,000-$50,000",53.8%,57.1%
"$50,000-$60,000",9.6%,8.9%
"$60,000-$70,000",11.5%,10.7%
"$70,000-$80,000",1.9%,1.8%
"Over $80,000",23.1%,21.4%
Percentage of job obtainers who reported salaries,100.0%,100.0%
What were the most frequent job titles for graduates?,,
Web Developer,17.9%,
Software Developer,3.6%,
System Developer Associate,3.6%,
System Developer New Associate,3.6%,
NIX Software Engineer,1.8%,
"The pink boxes represent the “canonical” number, which must be the most prominent number a school uses in its advertising.",,
