Report Information,,
School Name,Epicodus,
Campus Location,Seattle,
Program Name,Web Development,
Reporting Period,7/1/2019,12/31/2019
"Published Course Length (in days, including weekends and holidays)",189,
Graduates Included in Report,50,
Graduation Requirements,,
"* Pass all courses in student's track
* Maintain attendance above 80%
* Complete a final project
* Prepare resume, cover letter, LinkedIn, and GitHub profiles to the required standards
* Participate in the internship program",,
Graduation Data,,
How many students graduate within 100% of published program length (on-time)?,65.7%,
How many students graduate within 150% of published program length,70.0%,
Job Seekers,,
How many students intended to seek in-field employment within 180 days of graduating?,100.00%,
"How many students did not intend to seek in-field employment (returning to previous
employer, no work authorization, continuing to further education, or self-enrichment)?",0.00%,
Employment Results,90 days,180 days
1. Employed in-field,44.2%,50.0%
"1A. Full-time employee (30+ hours/week, 6+ months)",26.9%,30.8%
"1B. Full-time apprenticeship, internship, or contract position (30+ hours/week, 3-6 months)",9.6%,11.5%
"1C. Short-term contract, part-time position, freelance, or unknown length",7.7%,7.7%
1D. Started a new company or venture after graduation,0.0%,0.0%
2. Not seeking in-field employment,3.8%,5.8%
2A. Employed out-of-field,0.0%,1.9%
2B. Continuing to higher education,0.0%,0.0%
"2C. Not seeking a job for health, family, or personal reasons",3.8%,3.8%
3. Still seeking a job in-field,34.6%,26.9%
4. Could not contact,17.3%,17.3%
Hired by School,1.9%,1.9%
Median Annual Base Salary,"$60,000","$60,000"
"Under $50,000",25.0%,25.0%
"$50,000-$60,000",16.7%,16.7%
"$60,000-$70,000",33.3%,33.3%
"$70,000-$80,000",0.0%,0.0%
"$80,000-$90,000",16.7%,16.7%
"Over $90,000",8.3%,8.3%
Percentage of job obtainers who reported salaries,100.0%,36.4%
What were the most frequent job titles for graduates?,,
Software Engineer,40.9%,
Software Developer,13.6%,
Developer,9.1%,
Frontend Developer,4.5%,
Web Developer,4.5%,
"The pink boxes represent the “canonical” number, which must be the most prominent number a school uses in its advertising.",,
