Report Information,,
School Name,Project Shift,
Campus Location,Durham,
Program Name,"Full-Stack Software
Engineering Fellowship",
Reporting Period,1/1/2019,6/30/2019
"Published Course Length (in days, including weekends and holidays)",92,
Graduates Included in Report,14,
Graduation Requirements,,
"*Complete all course modules and evaluations to 70%
*Complete cohort project and individual project
*Complete Technical Interview and Career Services intake",,
Graduation Data,,
How many students graduate within 100% of published program length (on-time)?,65.0%,
How many students graduate within 150% of published program length,70.0%,
Job Seekers,,
How many students intended to seek in-field employment within 180 days of graduating?,100.00%,
"How many students did not intend to seek in-field employment (returning to previous
employer, no work authorization, continuing to further education, or self-enrichment)?",0.00%,
Employment Results,90 days,180 days
1. Employed in-field,71.4%,100.0%
"1A. Full-time employee (30+ hours/week, 6+ months)",64.3%,85.7%
"1B. Full-time apprenticeship, internship, or contract position (30+ hours/week, 3-6 months)",7.1%,7.1%
"1C. Short-term contract, part-time position, freelance, or unknown length",0.0%,7.1%
1D. Started a new company or venture after graduation,0.0%,0.0%
2. Not seeking in-field employment,0.0%,0.0%
2A. Employed out-of-field,0.0%,0.0%
2B. Continuing to higher education,0.0%,0.0%
"2C. Not seeking a job for health, family, or personal reasons",0.0%,0.0%
3. Still seeking a job in-field,28.6%,0.0%
4. Could not contact,0.0%,0.0%
Hired by School,0.0%,0.0%
What is the median annual base salary of graduates?,"$66,240","$66,240"
"Under $60,000",40.0%,35.7%
"$60,000-$70,000",20.0%,21.4%
"$70,000-$80,000",20.0%,21.4%
"$80,000-$90,000",20.0%,21.4%
"$90,000-$100,000",0.0%,0.0%
"Over $100,000",0.0%,0.0%
Percentage of job obtainers who reported salaries,100.0%,100.0%
What were the most frequent job titles for graduates?,,
Software Engineer,28.6%,
Full-Stack Engineer,14.3%,
Software Developer,14.3%,
Developer,14.3%,
Front-End Engineer,14.3%,
"The pink boxes represent the “canonical” number, which must be the most prominent number a school uses in its advertising.",,
