Report Information,,
School Name,"Fullstack Academy, Inc.",
Campus Location,"New York City, New York",
Program Name,"The Grace Hopper Web
Development Immersive",
Reporting Period,1/1/2019,6/30/2019
"Published Course Length (in days, including weekends and holidays)",109,
Graduates Included in Report,102,
Graduation Requirements,,
"*Complete all course modules
*Complete final project
*Meet with career services counselor
*Attend 2 school-sponsored career events during course",,
Graduation Data,,
How many students graduate within 100% of published program length (on-time)?,100.0%,
How many students graduate within 150% of published program length,100.0%,
Job Seekers,,
How many students intended to seek in-field employment within 180 days of graduating?,100.0%,
"How many students did not intend to seek in-field employment (returning to previous
employer, no work authorization, continuing to further education, or self-enrichment)?",0.0%,
Employment Results,90 days,180 days
1. Employed in-field,54.9%,84.3%
"1A. Full-time employee (30+ hours/week, 6+ months)",39.2%,65.7%
"1B. Full-time apprenticeship, internship, or contract position (30+ hours/week, 3-6 months)",13.7%,16.7%
"1C. Short-term contract, part-time position, freelance, or unknown length",2.0%,2.0%
1D. Started a new company or venture after graduation,0.0%,0.0%
2. Not seeking in-field employment,1.0%,1.0%
2A. Employed out-of-field,0.0%,0.0%
2B. Continuing to higher education,0.0%,0.0%
"2C. Not seeking a job for health, family, or personal reasons",1.0%,1.0%
3. Still seeking a job in-field,42.2%,12.7%
4. Could not contact,2.0%,2.0%
Hired by School,0.0%,0.0%
What is the median annual base salary of graduates?,"$90,000","$90,000"
"Under $60,000",16.1%,12.8%
"$60,000-$70,000",10.7%,10.5%
"$70,000-$80,000",5.4%,8.1%
"$80,000-$90,000",16.1%,16.3%
"$90,000-$100,000",12.5%,15.1%
"Over $100,000",39.3%,37.2%
Percentage of job obtainers who reported salaries,100.0%,100.0%
What were the most frequent job titles for graduates?,,
Software Engineer,47.8%,
Front-end Engineer,5.4%,
Software Developer,4.3%,
Fullstack Developer,4.3%,
Solutions Engineer,4.3%,
"The pink boxes represent the “canonical” number, which must be the most prominent number a school uses in its advertising.",,
