Report Information,,
School Name,Code Platoon,
Campus Location,Chicago,
Program Name,Full-Stack Web Development,
Reporting Period,7/1/2019,12/31/2019
"Published Course Length (in days, including weekends and holidays)",104,
Graduates Included in Report,19,
Graduation Requirements,,
"- Complete all course modules
- Complete final project
- Meet with career services counselor
- Attend 2 school-sponsored career events during course",,
Graduation Data,,
How many students graduate within 100% of published program length (on-time)?,90.5%,
How many students graduate within 150% of published program length?,90.5%,
Job Seekers,,
How many students intended to seek in-field employment within 180 days of graduating?,100.0%,
"How many students did not intend to seek in-field employment (returning to previous employer, no work authorization, continuing to further education, or self-enrichment)?",0.0%,
Employment Results,90 days,180 days
1. Employed in-field,63.2%,94.7%
"1A. Full-time employee (30+ hours/week, 6+ months)",31.6%,57.9%
"1B. Full-time apprenticeship, internship, or contract position (30+ hours/week, 3-6 months)",31.6%,36.8%
"1C. Short-term contract, part-time position, freelance, or unknown length",0.0%,0.0%
1D. Started a new company or venture after graduation,0.0%,0.0%
2. Not seeking in-field employment,0.0%,0.0%
2A. Employed out-of-field,0.0%,0.0%
2B. Continuing to higher education,0.0%,0.0%
"2C. Not seeking a job for health, family, or personal reasons",0.0%,0.0%
3. Still seeking a job in-field,36.8%,5.3%
4. Could not contact,0.0%,0.0%
Hired by School,0.0%,0.0%
Median Annual Base Salary,"$62,450","$63,750"
"Under $50,000",41.7%,27.8%
"$50,000-$60,000",0.0%,0.0%
"$60,000-$70,000",33.3%,38.9%
"$70,000-$80,000",16.7%,11.1%
"$80,000-$90,000",8.3%,11.1%
"Over $90,000",0.0%,11.1%
Percentage of job obtainers who reported salaries,100.0%,100.0%
Most Frequent Job Titles,,
Software Engineer,68.4%,
Software Developer,21.1%,
Analyst,5.3%,
Front-End Engineer,5.3%,
,0.0%,
