Report Information,,
School Name,Codesmith,
Campus Location,Los Angeles,
Program Name,Full-Stack Software Development,
Reporting Period,7/1/2019,12/31/2019
"Published Course Length (in days, including weekends and holidays)",100,
Graduates Included in Report,62,
Graduation Requirements,,
"* Complete all course modules
* Complete final project
* Meet with career services counselor
* Attend 2 school-sponsored career events during course",,
Graduation Data,,
How many students graduate within 100% of published program length (on-time)?,91.2%,
How many students graduate within 150% of published program length,94.1%,
Job Seekers,,
How many students intended to seek in-field employment within 180 days of graduating?,96.9%,
"How many students did not intend to seek in-field employment (returning to previous employer,
no work authorization, continuing to further education, or self-enrichment)?",3.1%,
Employment Results,90 days,180 days
1. Employed in-field,39.3%,80.6%
"1A. Full-time employee (30+ hours/week, 6+ months)",34.4%,75.8%
"1B. Full-time apprenticeship, internship, or contract position (30+ hours/week, 3-6 months)",0.0%,0.0%
"1C. Short-term contract, part-time position, freelance, or unknown length",3.3%,3.2%
1D. Started a new company or venture after graduation,1.6%,1.6%
2. Not seeking in-field employment,8.2%,8.1%
2A. Employed out-of-field,0.0%,0.0%
2B. Continuing to higher education,0.0%,0.0%
"2C. Not seeking a job for health, family, or personal reasons",8.2%,8.1%
3. Still seeking a job in-field,52.5%,11.3%
4. Could not contact,0.0%,0.0%
Hired by School,0.0%,0.0%
What is the median annual base salary of graduates?,"$120,000","$115,000"
"Under $100,000",5.0%,21.4%
"$100,000-$110,000",15.0%,19.0%
"$110,000-$120,000",15.0%,11.9%
"$120,000-$130,000",30.0%,21.4%
"$130,000-$140,000",15.0%,11.9%
"Over $140,000",20.0%,14.3%
Percentage of job obtainers who reported salaries,98.3%,98.3%
What were the most frequent job titles for graduates?,,
Software Engineer,53.2%,
Frontend Developer,10.6%,
Senior Software Engineer,8.5%,
Software Developer,6.4%,
Associate Software Engineer,2.1%,
"The pink boxes represent the “canonical” number, which must be the most prominent number a school uses in its advertising.",,
