,"Data Science Bootcamp - Online, Certificate","Front-end Web Designer/Developer Bootcamp, Certificate","Front-end Web Designer/Developer Bootcamp - Online, Certificate","Full-time Web Developer Bootcamp - Online, Certificate","IT Infrastructure Foundations, IT Infrastructure Specialist Certificate","IT Infrastructure Foundations
- Online, Certificate"
Program Enrollment,17,10,8,223,0,0
Number Still Enrolled,0,0,0,83,0,0
Percent Still Enrolled,0.0%,0.0%,0.0%,37.2%,N/A,N/A
WITHDRAWAL SUMMARY,,,,,,
Special Circumstance Withdrawals,0,9,0,11,0,0
Number of Withdrawals,0,10,0,12,0,0
Withdrawal Rate,0.0%,10.0%,0.0%,0.4%,N/A,N/A
COMPLETION SUMMARY,,,,,,
Number Not Currently Enrolled,17,10,8,140,0,0
Number of Completions,17,0,8,128,0,0
Completion Rate,100.0%,0.0%,100.0%,99.2%,N/A,N/A
PLACEMENT SUMMARY,,,,,,
Special Circumstance Non-Placements,0,0,0,5,0,0
Placed In-Field Withdrawals,0,0,0,0,0,0
Number Placeable,17,0,8,123,0,0
Total Placed In-Field,10,0,8,110,0,0
In-Field Placement Rate,58.8%,N/A,100.0%,89.4%,N/A,N/A
Number Placed,10,0,8,110,0,0
Placement Rate,58.8%,N/A,100.0%,89.4%,N/A,N/A
 STUDENT DEMOGRAPHICS                                                                                                                                                                   ,,,,,,
Race,,,,,,
Caucasian,11,9,N/A,163,N/A,N/A
Percent Caucasian,64.7%,90.0%,N/A,73.1%,N/A,N/A
African-American,2,0,N/A,19,N/A,N/A
Percent African-American,11.8%,0.0%,N/A,8.5%,N/A,N/A
Hispanic,1,0,N/A,10,N/A,N/A
Percent Hispanic,5.9%,0.0%,N/A,4.5%,N/A,N/A
Other/Unknown,3,1,N/A,31,N/A,N/A
Percent Other/Unknown,17.6%,10.0%,N/A,13.9%,N/A,N/A
Subtotal Race,17,10,N/A,223,N/A,N/A
Gender,,,,,,
Male,8,5,N/A,152,N/A,N/A
Percent Male,50.0%,50.0%,N/A,69.4%,N/A,N/A
Female,8,5,N/A,67,N/A,N/A
Percent Female,50.0%,50.0%,N/A,30.6%,N/A,N/A
Subtotal Gender,16,10,N/A,219,N/A,N/A
Age,,,,,,
Under 25,0,1,N/A,40,N/A,N/A
Percent Under 25,0.0%,10.0%,N/A,17.9%,N/A,N/A
25 and Over,17,9,N/A,183,N/A,N/A
Percent 25 and Over,100.0%,90.0%,N/A,82.1%,N/A,N/A
Subtotal Age,17,10,N/A,223,N/A,N/A
