Report Information,,
School Name,Launch Academy,
Campus Location,Boston,
Program Name,"Fundamentals of Web
Development",
Reporting Period,7/1/2019,12/31/2019
"Published Course Length (in days, including weekends and holidays)",90,
Graduates Included in Report,24,
Graduation Requirements,,
"*Student must achieve a minimum of 12 technical points
*BOS-25: Student must achive a minimum of 10 career services points.
From BOS-26 forward, student must achieve a minimum of 17 career services points.
*Student must achieve a minimum of 50 post-Career Kickoff points",,
Graduation Data,,
How many students graduate within 100% of published program length (on-time)?,55.6%,
How many students graduate within 150% of published program length,55.6%,
Job Seekers,,
How many students intended to seek in-field employment within 180 days of graduating?,96.0%,
"How many students did not intend to seek in-field employment (returning to previous
employer, no work authorization, continuing to further education, or self-enrichment)?",4.0%,
Employment Results,90 days,180 days
1. Employed in-field,100.0%,100.0%
"1A. Full-time employee (30+ hours/week, 6+ months)",83.3%,83.3%
"1B. Full-time apprenticeship, internship, or contract position (30+ hours/week, 3-6 months)",12.5%,12.5%
"1C. Short-term contract, part-time position, freelance, or unknown length",4.2%,4.2%
1D. Started a new company or venture after graduation,0.0%,0.0%
2. Not seeking in-field employment,0.0%,0.0%
2A. Employed out-of-field,0.0%,0.0%
2B. Continuing to higher education,0.0%,0.0%
"2C. Not seeking a job for health, family, or personal reasons",0.0%,0.0%
3. Still seeking a job in-field,0.0%,0.0%
4. Could not contact,0.0%,0.0%
Hired by School,12.5%,12.5%
Median Annual Base Salary,"$74,000","$74,000"
"Under $70,000",41.7%,41.7%
"$70,000-$80,000",45.8%,45.8%
"$80,000-$90,000",12.5%,12.5%
"$90,000-$100,000",0.0%,0.0%
"$100,000-$110,000",0.0%,0.0%
"Over $110,000",0.0%,0.0%
Percentage of job obtainers who reported salaries,100.0%,100.0%
What were the most frequent job titles for graduates?,,
"Junior Software Engineer, Automation",8.3%,
Front-End Javascript Developer,4.2%,
Junior Full-Stack Software Engineer,4.2%,
Front-End Web Developer,4.2%,
Apprentice Experience Engineer,4.2%,
"The pink boxes represent the “canonical” number, which must be the most prominent number a school uses in its advertising.",,
