Report Information,,
School Name,Hack Upstate's Careers in Code,
Campus Location,"Syracuse, NY",
Program Name,"Full-Stack Javascript Web
Development",
Reporting Period,7/1/2019,12/31/2019
"Published Course Length (in days, including weekends and holidays)",180,
Graduates Included in Report,9,
Graduation Requirements,,
"* Complete all course modules
* Complete 24-week program and Capstone Project
* Sign a sustainability agreement to work in Central NY area for at least two (2) years",,
Graduation Data,,
How many students graduate within 100% of published program length (on-time)?,91.7%,
How many students graduate within 150% of published program length,91.7%,
Job Seekers,,
How many students intended to seek in-field employment within 180 days of graduating?,81.8%,
"How many students did not intend to seek in-field employment (returning to previous employer,
no work authorization, continuing to further education, or self-enrichment)?",18.2%,
Employment Results,90 days,180 days
1. Employed in-field,22.2%,66.7%
"1A. Full-time employee (30+ hours/week, 6+ months)",11.1%,55.6%
"1B. Full-time apprenticeship, internship, or contract position (30+ hours/week, 3-6 months)",11.1%,11.1%
"1C. Short-term contract, part-time position, freelance, or unknown length",0.0%,0.0%
1D. Started a new company or venture after graduation,0.0%,0.0%
2. Not seeking in-field employment,22.2%,22.2%
2A. Employed out-of-field,0.0%,0.0%
2B. Continuing to higher education,11.1%,11.1%
"2C. Not seeking a job for health, family, or personal reasons",11.1%,11.1%
3. Still seeking a job in-field,44.4%,0.0%
4. Could not contact,11.1%,11.1%
Hired by School,0.0%,0.0%
What is the median annual base salary of graduates?,"$61,204","$50,003"
"Under $50,000",0.0%,20.0%
"$50,000-$60,000",0.0%,40.0%
"$60,000-$70,000",100.0%,40.0%
"$70,000-$80,000",0.0%,0.0%
"$80,000-$90,000",0.0%,0.0%
"Over $90,000",0.0%,0.0%
Percentage of job obtainers who reported salaries,100.0%,100.0%
What were the most frequent job titles for graduates?,,
Software Developer,50.0%,
Software Engineer,33.3%,
Project Manager,16.7%,
"The pink boxes represent the “canonical” number, which must be the most prominent number a school uses in its advertising.",,
